,name,artist,album,genre,release_date,length,acousticness,danceability,instrumentalness,loudness,liveness,tempo,energy,speechiness,valence,time_signature,popularity,popularity_2
286,Never Forget You,Zara Larsson,,dance pop,2015,213,,58,,-6,27,146,73,5,28,,77,
287,Love Me Harder,Ariana Grande,,dance pop,2015,236,,47,,-4,8,99,71,3,24,,76,
288,Animals,Maroon 5,,pop,2015,231,,28,,-6,59,190,74,9,33,,76,
289,Blame,Calvin Harris,,dance pop,2015,213,,41,,-4,34,128,86,8,35,,76,
290,Worth It,Fifth Harmony,,dance pop,2015,225,,88,,-4,12,100,77,9,59,,75,
291,Break Free,Ariana Grande,,dance pop,2015,215,,69,,-5,20,130,70,5,28,,75,
292,Don't,Ed Sheeran,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V'}, 'href': 'https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V', 'id': '6eUKZXaKkcviH0Ku9w2n3V', 'name': 'Ed Sheeran', 'type': 'artist', 'uri': 'spotify:artist:6eUKZXaKkcviH0Ku9w2n3V'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/0yJINpqqZPcRQhAnts7rPy'}, 'href': 'https://api.spotify.com/v1/albums/0yJINpqqZPcRQhAnts7rPy', 'id': '0yJINpqqZPcRQhAnts7rPy', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273782fc6ec468c51c12b283e13', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02782fc6ec468c51c12b283e13', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851782fc6ec468c51c12b283e13', 'width': 64}], 'name': ""Don't (Don Diablo Remix)"", 'release_date': '2014-10-17', 'release_date_precision': 'day', 'total_tracks': 1, 'type': 'album', 'uri': 'spotify:album:0yJINpqqZPcRQhAnts7rPy'}",pop,2015,220,0.0112,81,0.148,-7,64,95,61,7,85,4,74,92
293,Elastic Heart,Sia,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN'}, 'href': 'https://api.spotify.com/v1/artists/5WUlDfRSoLAfcVSX1WnrxN', 'id': '5WUlDfRSoLAfcVSX1WnrxN', 'name': 'Sia', 'type': 'artist', 'uri': 'spotify:artist:5WUlDfRSoLAfcVSX1WnrxN'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/6FdNvoO5sF4EKwCX9je1MH'}, 'href': 'https://api.spotify.com/v1/albums/6FdNvoO5sF4EKwCX9je1MH', 'id': '6FdNvoO5sF4EKwCX9je1MH', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b55ed804149fffbb5e35ff34', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b55ed804149fffbb5e35ff34', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b55ed804149fffbb5e35ff34', 'width': 64}], 'name': '1000 Forms Of Fear (Deluxe Version)', 'release_date': '2015-05-04', 'release_date_precision': 'day', 'total_tracks': 20, 'type': 'album', 'uri': 'spotify:album:6FdNvoO5sF4EKwCX9je1MH'}",australian dance,2015,257,0.903,42,0,-5,15,130,79,5,50,4,73,87
294,Rather Be (feat. Jess Glynne),Clean Bandit,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/1V3ZDkuqD2TA2E6LhN7c7l'}, 'href': 'https://api.spotify.com/v1/artists/1V3ZDkuqD2TA2E6LhN7c7l', 'id': '1V3ZDkuqD2TA2E6LhN7c7l', 'name': 'Route 69', 'type': 'artist', 'uri': 'spotify:artist:1V3ZDkuqD2TA2E6LhN7c7l'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/483JfhKLKFs6OJZgrtkjaD'}, 'href': 'https://api.spotify.com/v1/albums/483JfhKLKFs6OJZgrtkjaD', 'id': '483JfhKLKFs6OJZgrtkjaD', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273318ae90ab6718fb851cad087', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02318ae90ab6718fb851cad087', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851318ae90ab6718fb851cad087', 'width': 64}], 'name': 'Rather Be', 'release_date': '2014-05-13', 'release_date_precision': 'day', 'total_tracks': 14, 'type': 'album', 'uri': 'spotify:album:483JfhKLKFs6OJZgrtkjaD'}",dance pop,2015,228,0.00753,80,0.101,-7,19,121,59,4,55,4,73,5
295,Hello,Adele,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7JYQz0UED41wGC2amnBVcC'}, 'href': 'https://api.spotify.com/v1/artists/7JYQz0UED41wGC2amnBVcC', 'id': '7JYQz0UED41wGC2amnBVcC', 'name': 'Jupiter Jayne', 'type': 'artist', 'uri': 'spotify:artist:7JYQz0UED41wGC2amnBVcC'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/35g7aCbi8w2725WXB7ywZI'}, 'href': 'https://api.spotify.com/v1/albums/35g7aCbi8w2725WXB7ywZI', 'id': '35g7aCbi8w2725WXB7ywZI', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734c721fb238698d0898c422fe', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024c721fb238698d0898c422fe', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514c721fb238698d0898c422fe', 'width': 64}], 'name': 'Hello Adele', 'release_date': '2019-09-20', 'release_date_precision': 'day', 'total_tracks': 1, 'type': 'album', 'uri': 'spotify:album:35g7aCbi8w2725WXB7ywZI'}",british soul,2015,295,0.291,48,0.000158,-6,9,158,45,3,29,4,73,25
296,Dear Future Husband,Meghan Trainor,,dance pop,2015,184,,66,,-5,32,79,78,19,83,,72,
297,43776,Beyoncé,,dance pop,2015,214,,75,,-5,13,136,71,13,56,,72,
298,The Heart Wants What It Wants,Selena Gomez,,dance pop,2015,227,,62,,-5,14,83,79,4,62,,72,
299,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/2qTAYfrMzXAObSyDqLbFlQ'}, 'href': 'https://api.spotify.com/v1/artists/2qTAYfrMzXAObSyDqLbFlQ', 'id': '2qTAYfrMzXAObSyDqLbFlQ', 'name': 'Sounds Good', 'type': 'artist', 'uri': 'spotify:artist:2qTAYfrMzXAObSyDqLbFlQ'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/4TSmPieenuxw7KaUYNsBfA'}, 'href': 'https://api.spotify.com/v1/albums/4TSmPieenuxw7KaUYNsBfA', 'id': '4TSmPieenuxw7KaUYNsBfA', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f8641ef42040d4804ec481fc', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f8641ef42040d4804ec481fc', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f8641ef42040d4804ec481fc', 'width': 64}], 'name': 'Sing My Song Vol 30', 'release_date': '2015-09-18', 'release_date_precision': 'day', 'total_tracks': 20, 'type': 'album', 'uri': 'spotify:album:4TSmPieenuxw7KaUYNsBfA'}",dance pop,2015,193,0.308,60,0.781,-4,33,86,73,15,53,4,72,16
300,Genie In a Bottle,Christina Aguilera,,dance pop,2015,218,,63,,-7,14,176,80,16,91,,72,
301,Company,Justin Bieber,,canadian pop,2015,208,,59,,-5,8,95,80,6,43,,72,
302,Sing,Ed Sheeran,,pop,2015,235,,82,,-4,6,120,67,5,94,,71,
303,Jealous - Remix,Nick Jonas,,dance pop,2015,222,,68,,-4,44,93,71,8,45,,70,
304,Really Don't Care,Demi Lovato,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LknmtIpdm8oqwXF8e8T8N'}, 'href': 'https://api.spotify.com/v1/artists/0LknmtIpdm8oqwXF8e8T8N', 'id': '0LknmtIpdm8oqwXF8e8T8N', 'name': ""I Don't Fly"", 'type': 'artist', 'uri': 'spotify:artist:0LknmtIpdm8oqwXF8e8T8N'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/3F2rTXk51pnexhqYva97Wb'}, 'href': 'https://api.spotify.com/v1/albums/3F2rTXk51pnexhqYva97Wb', 'id': '3F2rTXk51pnexhqYva97Wb', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27326464bbfd79f4cf1d68613cf', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0226464bbfd79f4cf1d68613cf', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485126464bbfd79f4cf1d68613cf', 'width': 64}], 'name': 'Really Dont Care', 'release_date': '2014-09-19', 'release_date_precision': 'day', 'total_tracks': 4, 'type': 'album', 'uri': 'spotify:album:3F2rTXk51pnexhqYva97Wb'}",dance pop,2015,202,0.0104,71,1.11e-05,-4,19,121,73,9,85,4,70,33
305,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/4e3Jzo2QQo5Z9jjIdkvhlK'}, 'href': 'https://api.spotify.com/v1/artists/4e3Jzo2QQo5Z9jjIdkvhlK', 'id': '4e3Jzo2QQo5Z9jjIdkvhlK', 'name': 'Radio Remix', 'type': 'artist', 'uri': 'spotify:artist:4e3Jzo2QQo5Z9jjIdkvhlK'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/7A2gE2C8hhwMBizzigOhjd'}, 'href': 'https://api.spotify.com/v1/albums/7A2gE2C8hhwMBizzigOhjd', 'id': '7A2gE2C8hhwMBizzigOhjd', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27364592b7072ac257b3488bc07', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0264592b7072ac257b3488bc07', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485164592b7072ac257b3488bc07', 'width': 64}], 'name': 'Downtown (Originally Performed By Macklemore and Ryan Lewis feat. Eric Nally, Melle Mel, Kool Moe Dee, & Grandmaster Caz) [Instrumental Version] - Single', 'release_date': '2015-09-11', 'release_date_precision': 'day', 'total_tracks': 1, 'type': 'album', 'uri': 'spotify:album:7A2gE2C8hhwMBizzigOhjd'}",dance pop,2015,293,0.00461,83,0.823,-4,29,110,61,7,71,4,70,15
306,Only Love Can Hurt Like This,Paloma Faith,,british soul,2015,233,,57,,-5,33,91,89,8,31,,69,
307,Heartbeat Song,Kelly Clarkson,,dance pop,2015,199,,49,,-4,6,149,80,5,48,,69,
308,Up,Olly Murs,,dance pop,2015,224,,69,,-5,10,115,85,3,64,,69,
309,Trumpets,Jason Derulo,,dance pop,2015,217,,63,,-5,10,82,70,24,64,,69,
310,Runnin' (Lose It All),Naughty Boy,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/1bT7m67vi78r2oqvxrP3X5'}, 'href': 'https://api.spotify.com/v1/artists/1bT7m67vi78r2oqvxrP3X5', 'id': '1bT7m67vi78r2oqvxrP3X5', 'name': 'Naughty Boy', 'type': 'artist', 'uri': 'spotify:artist:1bT7m67vi78r2oqvxrP3X5'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/2YnYgyx7N8MkgQHCcRYfKP'}, 'href': 'https://api.spotify.com/v1/albums/2YnYgyx7N8MkgQHCcRYfKP', 'id': '2YnYgyx7N8MkgQHCcRYfKP', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c24dcf24b68739638e3231bd', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c24dcf24b68739638e3231bd', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c24dcf24b68739638e3231bd', 'width': 64}], 'name': ""Runnin' (Lose It All)"", 'release_date': '2015-09-17', 'release_date_precision': 'day', 'total_tracks': 1, 'type': 'album', 'uri': 'spotify:album:2YnYgyx7N8MkgQHCcRYfKP'}",tropical house,2015,213,0.0103,32,4.11e-05,-6,48,139,85,8,8,4,69,65
311,Same Old Love,Selena Gomez,,dance pop,2015,229,,67,,-4,21,98,59,3,44,,69,
312,I Want You To Know,Zedd,,complextro,2015,240,,58,,-3,14,130,85,6,37,,68,
313,Lips Are Movin,Meghan Trainor,,dance pop,2015,183,,78,,-5,11,139,83,5,95,,68,
314,I'll Show You,Justin Bieber,,canadian pop,2015,200,,36,,-7,18,192,61,10,8,,68,
315,Here,Alessia Cara,,canadian contemporary r&b,2015,199,,38,,-4,8,120,82,10,33,,68,
316,I Lived,OneRepublic,,dance pop,2015,235,,59,,-5,27,120,85,4,34,,67,
317,Fireball (feat. John Ryan),Pitbull,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg'}, 'href': 'https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg', 'id': '0TnOYISbd1XYRBk9myaseg', 'name': 'Pitbull', 'type': 'artist', 'uri': 'spotify:artist:0TnOYISbd1XYRBk9myaseg'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EG', 'ES', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/30gRxZHDWRrAMdnF0TcMSX'}, 'href': 'https://api.spotify.com/v1/albums/30gRxZHDWRrAMdnF0TcMSX', 'id': '30gRxZHDWRrAMdnF0TcMSX', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ff13ea6975bf87a481b800bf', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ff13ea6975bf87a481b800bf', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ff13ea6975bf87a481b800bf', 'width': 64}], 'name': 'Fireball (feat. John Ryan)', 'release_date': '2014-07-23', 'release_date_precision': 'day', 'total_tracks': 1, 'type': 'album', 'uri': 'spotify:album:30gRxZHDWRrAMdnF0TcMSX'}",dance pop,2015,235,0.0894,69,0.000104,-5,5,123,94,6,79,4,67,85
318,Easy Love,Sigala,,dance pop,2015,230,,68,,-4,12,124,94,6,65,,67,
319,The Feeling,Justin Bieber,,canadian pop,2015,245,,53,,-6,10,127,81,6,21,,67,
320,I Really Like You,Carly Rae Jepsen,,canadian pop,2015,205,,62,,-5,22,122,81,4,60,,66,
321,BO$$,Fifth Harmony,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/1l8Fu6IkuTP0U5QetQJ5Xt'}, 'href': 'https://api.spotify.com/v1/artists/1l8Fu6IkuTP0U5QetQJ5Xt', 'id': '1l8Fu6IkuTP0U5QetQJ5Xt', 'name': 'Fifth Harmony', 'type': 'artist', 'uri': 'spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/0zAsh6hObeNmFgFPrUiFcP'}, 'href': 'https://api.spotify.com/v1/albums/0zAsh6hObeNmFgFPrUiFcP', 'id': '0zAsh6hObeNmFgFPrUiFcP', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735bdd9e580fdda5e676a25e6a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025bdd9e580fdda5e676a25e6a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515bdd9e580fdda5e676a25e6a', 'width': 64}], 'name': 'Reflection (Deluxe)', 'release_date': '2015-01-30', 'release_date_precision': 'day', 'total_tracks': 14, 'type': 'album', 'uri': 'spotify:album:0zAsh6hObeNmFgFPrUiFcP'}",dance pop,2015,171,0.00621,81,0,-5,5,103,87,11,74,4,66,75
322,Sugar,Maroon 5,,pop,2015,235,,75,,-7,9,120,79,3,88,,66,
323,Focus,Ariana Grande,,dance pop,2015,211,,67,,-6,44,100,88,24,79,,66,
324,All About That Bass,Meghan Trainor,,dance pop,2015,189,,81,,-4,11,134,88,5,96,,65,
325,On My Mind,Ellie Goulding,,dance pop,2015,213,,70,,-7,9,155,71,5,74,,65,
326,Love Me Like You,Little Mix,,dance pop,2015,198,,79,,-4,28,106,67,4,85,,65,
327,Broken Arrows,Avicii,,big room,2015,233,,63,,-7,10,116,67,5,29,,65,
328,Booty,Jennifer Lopez,,dance pop,2015,210,,71,,-4,26,129,95,5,40,,64,
329,What Do You Mean? - Acoustic,Justin Bieber,,canadian pop,2015,204,,77,,-11,10,125,36,4,76,,64,
330,Mark My Words,Justin Bieber,,canadian pop,2015,134,,38,,-9,17,114,26,3,52,,63,
331,Lay It All on Me,Rudimental,,dance pop,2015,242,,67,,-7,19,123,75,4,48,,62,
332,American Oxygen,Rihanna,,barbadian pop,2015,320,,39,,-6,33,78,75,9,48,,61,
333,Bang Bang,Jessie J,,australian pop,2015,199,,71,,-4,38,150,75,9,73,,61,
334,Reality - Radio Edit,Lost Frequencies,,belgian edm,2015,159,,71,,-8,7,122,70,3,60,,61,
